Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
155,Sameera Goswami,Female,2/15/1993,22,7.83,Mulund College Of Commerce,Mumbai University,Bachelors of Mass Media,Management,76.1,2022,Kishinchand Chellaram College,CBSE,Science (Medical),63.08,2019,Kundan Vidya Mandir Sr. Sec. School,CBSE,95,2017,Yes,10 months,No,26 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Finance Manager,Finance,Human Resources,Religare Broking Ltd,Business Development Intern,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
156,Preeti Lal,Female,11/28/2002,24,7.1,Karmaveer Bhaurao Patil Institute Of Management Studies And Research,Indira Gandhi National Open University,B.Com.,Financial Accounting And Auditing,68.87,2022,Saint Joseph School,CBSE,Commerce,72.2,2018,Alwar Public School,CBSE,87.43,2016,Yes,9 months,No,27 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Aditya Birla Finance Ltd,Branch Banking- Sales and Operations Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
157,Rahul Pandey,Male,7/21/2000,22,6.55,Amity School Of Liberal Arts,Mumbai University,B.Sc.,Mathematics And Computing,81.6,2021,Hans Raj Smarak School,CBSE,Science (Non-Medical),79.33,2018,D.A.V. Public School,CBSE,95,2016,Yes,10 months,Yes,32 months,Tata Consultancy Services,16 months,Banking,Operations,Junior Accountant,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Associate,International Business,Marketing,Bluwheelz,Investments Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
158,Madhavi Bedi,Female,9/25/2002,22,7.09,Banasthali Vidhyapeeth,Banasthali University,B.B.A.,General,71.34,2023,St. Gregorios Senior Secondary School,CBSE,Science (Non-Medical),82,2020,Carmel School,CBSE,85.5,2018,No,1 months,No,12 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Ratnakar Securities Pvt. Ltd.,Strategy Intern,"1. Market Entry Strategy
2. Competitive Analysis
3. Strategic Planning","1. Strategic Planning Tools
2. Financial Modeling
3. Market Analysis Software","1. Strategic Thinking
2. Business Acumen
3. Critical Analysis"
159,Ameena Deshpande,Female,9/25/2002,22,8.01,Symbiosis Centre For Management Studies,Symbiosis International University,B.B.A.,General,92.4,2023,Delhi Public School,ISC,Commerce,88,2020,Shah International Public School,ICSE,90,2018,No,11 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Gujarati",Brand Manager,International Business,Marketing,MS Finline Pvt Ltd(Partner of IIFL Securities),HR intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
160,Prachi Vyas,Female,2/27/2001,22,7.02,Bharati College,University Of Delhi,B.A. (Hons.),Business Economics,69.16,2022,D.A.V Public School,CBSE,Science (Medical),86.6,2019,"Amity International School, Sec -46",CBSE,90.25,2017,Yes,3 months,No,14 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Marketing,Bank Of Baroda,Portfolio Management Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
161,Karishma Reddy,Female,9/19/2000,23,8.32,Sri Aurobindo College,University Of Delhi,B.Com. (Hons.),Commerce,87.3,2022,Cambridge School,CBSE,Commerce,90.6,2019,Lovely Rose Public Secondary School,CBSE,95,2017,Yes,2 months,No,28 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,Marketing,Finance,GSMA,Marketing Intern,"1. Data Analysis
2. Business Metrics
3. Process Analytics","1. SQL
2. Python
3. Business Intelligence Tools","1. Data Analysis
2. Business Acumen
3. Problem Solving"
162,Sameera Krishna,Female,3/18/1998,22,7.81,Maharshi Dayanand University,University Of Delhi,B.Com. (Hons.),General,82.69,2022,Summer Fields School,CBSE,Commerce,92.6,2019,Pathania Public School,Haryana Board,90.16,2017,Yes,6 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Kannada , Tulu",Brand Manager,Marketing,Human Resources,Panasonic Life Solutions,Area Sales Manager Trainee,"1. Operations Strategy
2. Process Improvement
3. Supply Chain Optimization","1. Process Mapping
2. Analytics Tools
3. ERP Systems","1. People Analytics
2. Data-Driven HR
3. Strategic Thinking"
163,Harish Panday,Male,11/29/1999,25,6.67,Goenka College Of Commerce And Business Administration,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,80.6,2020,The Aryan International School,CBSE,Commerce,72.83,2017,Hindmotor High School,CBSE,77.16,2015,Yes,10 months,Yes,8 months,"The Westin, Gurgaon (Marriott International)",30 months,Financial Services & Insurance,Engineering Research,Assistant Marketing Manager,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Big Data Analytics,Finance,Oakwiz Capital LLP,Strategy and Planning Intern,"1. Financial Analysis
2. Risk Assessment
3. Investment Research","1. Financial Modeling
2. Bloomberg
3. Advanced Excel","1. Financial Acumen
2. Analytical Thinking
3. Attention to Detail"
164,Manish Bedi,Male,12/16/2001,23,6.98,D.A.V. College,Guru Gobind Singh Indraprastha University,B.Sc.,Bsc. Hons Mathematics (Economics Minor),76.19,2022,The Shri Ram School,CBSE,Science (Non-Medical),79.33,2018,W.W.A. Cossipore English School,CBSE,87.4,2016,Yes,8 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Marketing,Finance,Make My Trip,Social Media and Branding Intern,"1. Consumer Research
2. Market Analysis
3. Trend Analysis","1. SPSS
2. Survey Tools
3. Research Software","1. Research Methods
2. Data Analysis
3. Market Understanding"
165,Tejas Mann,Male,12/16/1998,24,7.32,Academy Of Technology,Shivaji University,B.Tech,Chemical Engineering,76.9,2020,J K S Inter College Of Commerce,ISC,Science (Non-Medical),62.8,2016,Jagannath International School,ICSE,82.83,2014,Yes,7 months,Yes,16 months,Infosys Limited,12 months,Information Technology,Advisory,Lecturer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Odia",Strategy Analyst,Big Data Analytics,Marketing,Berger Paints India. Ltd,Summer intern- IT,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
166,Devendra Iyer,Male,7/24/2000,24,7.72,University Institute Of Engineering,University Of Delhi,B.Com. (Hons.),General,60,2020,Delhi Public School,CBSE,Commerce,90.4,2017,Ryan International School,CBSE,91,2015,Yes,11 months,No,34 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Enrich Agro Food Products Pvt Ltd(Coca Cola FBO),Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
167,Vivaan Goel,Male,10/30/1996,25,7.86,Vellore Institute Of Technology,University Of Delhi,B.Tech,General,81.13,2021,Little Flower Public Sr Sec School,CBSE,Science (Medical),91,2017,Holy Child Auxilium School,CBSE,81.7,2015,No,6 months,Yes,16 months,Aisshpra Developers Private Limited,22 months,Information Technology,Finance,Senior Assistant Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Process Improvement Specialist,Big Data Analytics,Marketing,Care Health Insurance,Team Lead Sales,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
168,Ashok Reddy,Male,8/17/1998,25,6.72,Girijananda Chowdhury Institute Of Management And Technology,Guru Gobind Singh Indraprastha University,B.A. (Hons.),Economics,62.7,2020,St. George'S School,CBSE,Commerce,63,2016,D.A.V. Public School Rohini,CBSE,66,2014,Yes,6 months,Yes,16 months,Infosys Limited,12 months,Information Technology,Finance,Associate,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Finance,Human Resources,OneShield Software India,Operations Intern,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
169,Bhavesh Ahluwalia,Male,3/23/2000,22,7.46,Institute Of Information Technology And Management,University Of Delhi,B.Com. (Hons.),General,77.9,2021,Delhi Public School,CBSE,Commerce,87.5,2018,"Modern Public School, Shalimar Bagh",CBSE,66.5,2016,Yes,9 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Digital Marketing Specialist,Finance,Marketing,ClarityX Analytics,Summer Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
170,Manish Dwivedi,Male,3/23/1999,23,4.94,Amity Global Business School,Amity University,B.B.A.,General,70.6,2022,Venkateshwar International School,CBSE,Commerce,71,2019,Springdales School,CBSE,70.3,2017,Yes,7 months,No,26 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,Enrich Agro Food Products Pvt Ltd(Coca Cola FBO),Strategic Insights and Analytics Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
171,Arvind Sandhu,Male,1/16/2001,29,8.73,Ymca,Jagannath University Bahadurgarh,B.Tech,Electronics And Communication Engineering,70,2016,St.George'S School,CBSE,Science (Non-Medical),69.6,2012,St. Xavier's High School,CBSE,82.5,2010,No,3 months,Yes,27 months,Mohindera Furnishings,8 months,Financial Services & Insurance,Software development,Business Development Manager (BDM),Easy Source HR Solutions Pvt. Ltd. (Solar Energy Corporation of India),14 months,Retail,Projects,Quality Engineer,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Brand Manager,Finance,Marketing,Koozie's ice cream,Marketing Intern,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
172,Jitendra Gill,Male,9/28/1999,23,6.81,Lovely Professional University,Birla Institute Of Technology,B.B.A.,Marketing And Human Resource,76.19,2022,Guru Nanak Public School,CBSE,Commerce,82.8,2019,K.R.Mangalam World School,CBSE,95,2017,Yes,11 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Reliance Jio Infocomm Limited,Sales and Marketing intern,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
173,Sachin Bhatt,Male,3/30/2001,24,6.76,Kalinga Institute Of Industrial Technology,Chitkara University,B.Tech,Electrical Engineering,84.5,2022,Amity International School,CBSE,Science (Non-Medical),80.25,2018,"Delhi Public School, Indore",CBSE,89.66,2016,Yes,1 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,International Business,Finance,DHL Express (India),Area sales manager trainee,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
174,Yogesh Guha,Male,2/26/2000,21,7.25,College Of Vocational Studies,University Of Delhi,B.Com. (Hons.),Commerce,74.07,2022,Delhi Public School,CBSE,Commerce,89.4,2019,Ryan International School,CBSE,79,2017,Yes,10 months,No,33 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Aditya Birla Finance Ltd,Finance Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Problem Solving
2. Strategic Thinking
3. Client Management"
175,Jyoti Kohli,Female,6/23/2000,24,8.31,Janki Devi Memorial College,Kurukshetra University,B.Com.,Commerce,73.81,2020,Delhi Public School,CBSE,Commerce,90.6,2017,Delhi Public School,CBSE,79.8,2015,No,2 months,Yes,25 months,Armani exchange,30 months,Education Management,After Sales,Developer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Investment Banking Analyst,Finance,Information Technology,Rancho Labs,Marketing and business development,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
176,Jitendra Pannu,Male,7/31/2001,23,7.66,"Sri.C.Achutha Menon Government College Thrissur, Kuttanellur",University Of Calicut,B.Com.,Finance,69.58,2022,St. Anselm'S Pink City School,Kerala Higher Secondary Education,Commerce,81.6,2019,"DAV Public School Sreshtha Vihar, Delhi",Kerala State Board of Public Examination,90.57,2017,Yes,11 months,No,12 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Marathi",Business Analyst,Finance,Marketing,AGR Rural Spices and Foods PVT Ltd.,Post Graduate Sales Trainee,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
177,Suraj Verma,Male,11/26/2001,24,7.41,Kalinga Institute Of Industrial Technology,Amity University,B.Tech,Electronics And Communication Engineering,77.99,2021,Army Public School,CBSE,Science (Non-Medical),79.2,2018,Rukmini Devi Public School,CBSE,85.5,2016,No,2 months,Yes,9 months,Simulanis Solutions Pvt Ltd,15 months,Information Technology,Consultancy,Technical Recruiter,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Finance,Marketing,Asian paints,Human Resource Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
